Subject,sex,age,Dist,speed,TotalObjVisits,TotalHallwayVisits,turns,pauses,evenness,HallEvenness,ButtonPress,entropy,hallwayseq
515,Male,young,197.25,0.4109375,10.5,46.5,52,949.006178745117,0.7071067811865476,1.3228756555322954,113,3.067691262935744,29
516,Male,young,212.625,0.44296875,10.5,43,62.5,1228.43969503812,1.5,2.571208103423585,127.5,2.913496269514621,23
519,Male,young,276.375,0.57578125,10,44.5,77.5,437.937958996328,0.6666666666666666,1.3017082793177757,163,2.6720264457395584,31
520,Male,young,267.5,0.5572916666666666,10,42.5,70,672.563917434444,1.2018504251546631,1.90029237516523,152,2.7212996524533986,29
523,Male,young,226.375,0.47161458333333334,11.5,45.5,52.5,1321.80255604155,0.5270462766947299,1.5634719199411433,122,2.9964541115361,24
524,Male,young,272,0.5666666666666667,9,50.5,65,804.930639730641,0.8660254037844386,2.958039891549808,151,2.733516856683221,43
525,Male,young,279.5,0.5822916666666667,8.5,45,71.5,569.041267109253,0.6009252125773316,1.481365736219265,157.5,2.6861681221095606,31
526,Male,young,279.625,0.5825520833333333,9.5,48.5,76.5,546.386860893597,1.3642254619787417,2.697735676039774,162.5,2.658067916861283,29
527,Male,young,242.25,0.5046875,7,41.5,78,831.082701336222,0.7264831572567789,1.6158932858054431,150,2.5993524430951567,64
528,Male,young,196.125,0.40859375,8,42.5,57.5,1716.24036594474,0.8333333333333334,2.788866755113585,117.5,2.982051335745803,25
529,Male,young,236.5,0.49270833333333336,10,43.5,68.5,804.599494140038,1.3944333775567925,2.088327347690278,142.5,2.754603542303985,37
530,Male,young,279.75,0.5828125,9,45.5,72,520.551801801802,1.224744871391589,1.224744871391589,157.5,2.6695644092096935,39
531,Male,young,245.375,0.5111979166666667,10,42,67.5,800.548402255638,1.2018504251546631,2,143.5,2.780189340436943,29
532,Male,young,204.625,0.42630208333333336,9,42.5,59,1616.74355280726,1,2.223610677354389,121,2.8892304871431316,35
533,Male,young,297.25,0.6192708333333333,11,48.5,74.5,402.086068884483,1.0137937550497031,1.4142135623730951,166.5,2.6526520028062626,33
534,Male,young,183.625,0.38255208333333335,8.5,40.5,66,1427.7734723315,0.927960727138337,1.0540925533894598,124.5,2.8470785496007203,29
535,Male,young,208.75,0.4348958333333333,8.5,39,66,1314.61485981308,0.927960727138337,1.9436506316151,129.5,2.8444027145730204,23
536,Male,young,214.75,0.4473958333333333,9.5,36.5,78,830.012033931742,1.0540925533894598,2.1213203435596424,143.5,2.6604413290625377,35
537,Male,young,277.375,0.5778645833333333,9.5,45.5,73,535.813858530045,0.3333333333333333,1.4240006242195884,158,2.7030010786467438,25
538,Male,young,275.125,0.5731770833333333,10.5,43.5,71,516.771546052631,1.118033988749895,2.3333333333333335,157,2.706587801799013,31
545,Male,young,289.125,0.60234375,11,44,81,314.98578111328,0.7264831572567789,1.964971020425266,173.5,2.637081722084541,31
546,Male,young,296.25,0.6171875,10.5,45.5,72,455.801982436965,1,2.3979157616563596,164,2.6700052248081603,25
301,Female,midlife,250.625,0.5221354166666666,13,69,53.5,1227.19732760678,0.6009252125773316,1.6158932858054431,130.5,3.126580938784991,12
306,Female,midlife,178,0.37083333333333335,10.5,47.5,50.5,2149.27400308839,1.118033988749895,2.204792759220492,106,3.1168091921125587,11
310,Female,midlife,221.25,0.4609375,12.5,59.5,68.5,1065.19421647998,1.6414763002993509,1.8782379449307742,135.5,3.0282368705046867,8
312,Female,midlife,212.625,0.44296875,14.5,60,65.5,1118.29427083333,2.6352313834736494,2.3154073315749675,134,2.9960233613597578,11
313,Female,midlife,254.375,0.5299479166666666,15.5,65,70,652.136583011583,1.8104634152000358,2.7436796055257213,145,3.103238054546477,10
315,Female,midlife,276.5,0.5760416666666667,14,74.5,65.5,678.443909538737,2.204792759220492,3.3082388735465345,150.5,3.000393835091421,13
323,Female,midlife,233.5,0.4864583333333333,15.5,62.5,64,979.29104477612,1.6666666666666667,2.9059326290271157,138,3.1253632467222534,8
324,Female,midlife,242.5,0.5052083333333334,15.5,67,69.5,882.83388030888,1.2360330811826103,2.068278940998476,145,3.143507713831271,8
326,Female,midlife,219.25,0.45677083333333335,14.5,60.5,69.5,1063.59363097758,1.092906420717,1.855921454276674,138.5,3.1393838515630623,8
327,Female,midlife,204.25,0.42552083333333335,13.5,55,70,1073.36078746485,1.224744871391589,2.5221243250702594,133,3.1375153177352417,8
332,Female,midlife,201,0.41875,11,53,67,992.226923327471,1.2360330811826103,2.1278575558006176,125,3.0953697983781963,12
333,Female,midlife,248.25,0.5171875,15.5,65.5,66,822.819068255688,1.130388330520878,3.073181485764296,143.5,3.144721028434602,8
334,Female,midlife,177.25,0.3692708333333333,9.5,51,55.5,1661.48165137615,1.1666666666666667,1.9436506316151,110,3.0861291542160165,10
336,Female,midlife,203.25,0.4234375,12.5,57.5,52.5,1316.36140979689,2.3333333333333335,1.855921454276674,117,3.0182252664026286,12
337,Female,midlife,175.125,0.36484375,10,49,45.5,1620.97674646782,1.986062547968831,2.7436796055257213,102,3.007940395988988,13
338,Female,midlife,183.375,0.38203125,11.5,49.5,49.5,1481.55178253119,1.130388330520878,1.8708286933869707,107,3.1357581764151434,12
339,Female,midlife,232.625,0.48463541666666665,12,63.5,61,766.752648305084,1.4142135623730951,2.6666666666666665,132,3.0841377231441016,10
340,Female,midlife,150.875,0.3143229166666667,7.5,43,61.5,1447.21135593221,1,3.7564758898615485,110,2.9906431728592606,15
342,Female,midlife,147.625,0.30755208333333334,9,39.5,53.5,1776.21349603671,0.7071067811865476,0.927960727138337,99,3.1312251910744817,11
344,Female,midlife,181.875,0.37890625,10,49,60.5,1297.30141625615,1.092906420717,1.7320508075688772,115,3.105878093585274,10
347,Female,midlife,163.5,0.340625,9,42.5,43.5,1786.52508042417,1.4142135623730951,2.8722813232690143,94,3.046932812332973,9
351,Female,midlife,158,0.32916666666666666,10,41.5,56,1272.42808871121,1.5634719199411433,3.1622776601683795,103.5,3.01737618021584,12
355,Female,midlife,168.875,0.35182291666666665,9.5,47,52,857.208737864078,1.4529663145135578,2.068278940998476,104,3.065957402971761,12
356,Female,midlife,183.625,0.38255208333333335,11.5,50.5,43,1250.50641543746,1.8782379449307742,1.6158932858054431,100.5,2.9986595429316676,9
