"","ID","timepoint","TrialID","PosX","PosY","PosZ","FacingAngle","startObj","endObj","TrialTime","Result","accuracy"
"203",3009,135,2,0.197717,-1.792129,-0.00838800000000006,179.345164688889,"Stove",NA,30,"Fail",FALSE
"204",3009,56,10,-4.51748,-2.830294,-0.0524640000000001,213.047482178571,"Bookshelf","Plant",12.62766,"Success",TRUE
"205",3009,76,21,4.801474,4.591823,0.026424,139.855758052632,"Mailbox","Trashcan",17.00279,"Success",TRUE
"206",3009,62,6,2.5941546,-4.943442,-0.087286,134.727348064516,"Table","Chair",13.92715,"Success",TRUE
"207",3009,68,13,4.811771,-1.86358467,-0.0623849999999999,132.305948597059,"Telescope","Well",15.31431,"Success",TRUE
"208",3009,34,24,2.1122183,3.8206482,0.00341100000000005,91.5781267352941,"Chair","Trashcan",7.640562,"Success",TRUE
"209",3009,73,12,-4.361513,0.66276,-0.0101199999999999,177.748634849315,"Trashcan","Table",16.35834,"Success",TRUE
"210",3009,70,22,3.837801,4.128696,0.0119529999999999,188.696362185714,"Mailbox","Bookshelf",15.60491,"Success",TRUE
"211",3009,68,16,-3.0431407,-1.61763424,-0.0465610000000001,184.367647705882,"Wheelbarrow","Plant",15.18225,"Success",TRUE
"212",3009,56,1,4.532045,-4.738451,-0.093364,164.939057857143,"Stove","Well",12.46054,"Success",TRUE
"213",3009,52,4,-0.218545,-3.996437,-0.0838639999999999,167.011798653846,"Piano","Harp",11.77254,"Success",TRUE
"214",3009,68,19,-3.547539,3.879731,0.061914,214.785789514706,"Well","Table",15.11586,"Success",TRUE
"215",3009,45,14,2.84974959,-0.136047583,-0.0149510000000002,157.751508777778,"Telescope","Wheelbarrow",10.05083,"Success",TRUE
"216",3009,48,18,-4.399124,0.8765517,-0.03667,205.664736866667,"Harp","Telescope",10.83942,"Success",TRUE
"217",3010,127,21,4.759888,4.51118,-0.07433,135.679161662992,"Mailbox","Trashcan",28.27581,"Success",TRUE
"218",3010,81,22,4.306997,4.484237,-0.00867600000000013,138.399066160494,"Mailbox","Bookshelf",18.18101,"Success",TRUE
"219",3010,110,20,0.697817,4.901383,-0.021722,120.610811363636,"Well","Piano",24.58874,"Success",TRUE
"220",3010,129,12,-4.811363,0.260101,-0.031047,180.42238396124,"Trashcan","Table",28.73162,"Success",TRUE
"221",3010,100,17,-4.298818,4.256405,-0.00757600000000003,229.66337972,"Harp","Stove",22.41197,"Success",TRUE
"222",3010,108,24,1.6778878,4.394018,-0.0037520000000002,129.557834371296,"Chair","Trashcan",24.03334,"Success",TRUE
"223",3010,54,9,-4.187258,1.750572,-0.0116259999999999,211.1491385,"Bookshelf","Stove",12.07213,"Success",TRUE
"224",3010,66,11,-5.276646,-1.04138779,-0.0242849999999999,204.732063,"Trashcan","Telescope",14.68167,"Success",TRUE
"225",3010,55,6,2.8069646,-5.037966,-0.0181100000000001,120.126222545455,"Table","Chair",12.34972,"Success",TRUE
"226",3010,74,10,-4.481064,-2.554229,-0.0320370000000001,198.261909837838,"Bookshelf","Plant",16.51533,"Success",TRUE
"227",3010,89,13,4.589351,-1.489020647,-0.00375700000000001,133.858212067416,"Telescope","Well",19.9682,"Success",TRUE
"228",3010,135,1,2.0112299,-0.00378699999999998,-0.00911499999999998,166.616935666667,"Stove",NA,30,"Fail",FALSE
"229",3010,40,18,-4.305291,0.9675245,-0.010016,242.17288875,"Harp","Telescope",9.052526,"Success",TRUE
"230",3010,90,15,-2.5462896,-2.99355347,-0.0640079999999998,216.235754111111,"Wheelbarrow","Mailbox",20.19054,"Success",TRUE
"231",3010,65,19,-3.632678,4.27929,0.00496499999999989,174.117574584615,"Well","Table",14.47176,"Success",TRUE
"232",3010,43,5,3.755485,-0.9231528,-0.00513799999999986,116.093567906977,"Table","Bookshelf",9.584818,"Success",TRUE
"233",3010,65,7,5.50766,3.704603,-0.0058990000000001,115.616449630769,"Plant","Trashcan",14.62655,"Success",TRUE
"234",3010,70,16,-3.1162349,-1.2436569,-0.0243769999999999,218.257920957143,"Wheelbarrow","Plant",15.7472,"Success",TRUE
"235",3010,84,8,3.864889,1.005085,-0.00786299999999995,150.179276027024,"Plant","Harp",18.66901,"Success",TRUE
"236",3010,61,3,-3.773027,-6.066596,-0.0437719999999999,172.64482442623,"Piano","Mailbox",13.62751,"Success",TRUE
"237",3010,130,23,-0.1925636,6.318243,-0.00813400000000009,143.642440172308,"Chair","Piano",29.06399,"Success",TRUE
"238",3010,57,14,3.0482492,0.6143268,-0.00687400000000005,144.570082982456,"Telescope","Wheelbarrow",12.88256,"Success",TRUE
"239",3010,48,4,-0.469767,-4.185418,-0.0582130000000001,176.14239,"Piano","Harp",10.74067,"Success",TRUE
"240",3010,53,2,2.68800609,-2.5778434,-0.0178229999999999,173.495378113208,"Stove","Wheelbarrow",11.86164,"Success",TRUE
