10 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
0.0945453 [3865 voxels],0.153637 [5681 voxels],0.118455 [5398 voxels],0.252377 [2257 voxels],0.118203 [2224 voxels],0.212386 [3910 voxels],0.180663 [3444 voxels],0.273785 [2406 voxels],0.153401 [2152 voxels],049,049,0.225491 [4171 voxels],0.183258 [4452 voxels],0.109679 [7753 voxels],0.0980584 [7686 voxels],0.184093 [3274 voxels]
031,031,031,031,031,031,031,031,031,050,050,031,031,031,031,031
0.185883 [3865 voxels],0.161546 [5681 voxels],0.107318 [5398 voxels],0.193451 [2257 voxels],0.132078 [2224 voxels],0.199088 [3910 voxels],0.141267 [3444 voxels],0.242624 [2406 voxels],0.233096 [2152 voxels],052,052,0.107016 [4171 voxels],0.117818 [4452 voxels],0.103931 [7753 voxels],0.129663 [7686 voxels],0.155298 [3274 voxels]
032,032,032,032,032,032,032,032,032,053,053,032,032,032,032,032
0.179646 [3865 voxels],0.113225 [5681 voxels],0.127971 [5398 voxels],0.181911 [2257 voxels],0.258868 [2224 voxels],0.178622 [3910 voxels],0.437286 [3444 voxels],0.211509 [2406 voxels],0.181893 [2152 voxels],055,055,0.288308 [4171 voxels],0.151517 [4452 voxels],0.120906 [7753 voxels],0.118839 [7686 voxels],0.19754 [3274 voxels]
033,033,033,033,033,033,033,033,033,056,056,033,033,033,033,033
0.133637 [3865 voxels],0.186227 [5681 voxels],0.134399 [5398 voxels],0.182818 [2257 voxels],0.127165 [2224 voxels],0.340446 [3910 voxels],0.209044 [3444 voxels],0.196725 [2406 voxels],0.198735 [2152 voxels],057,057,0.146424 [4171 voxels],0.123063 [4452 voxels],0.108171 [7753 voxels],0.112371 [7686 voxels],0.174997 [3274 voxels]
035,035,035,035,035,035,035,035,035,058,058,035,035,035,035,035
0.172009 [3865 voxels],0.107622 [5681 voxels],0.110759 [5398 voxels],0.26185 [2257 voxels],0.180452 [2224 voxels],0.178129 [3910 voxels],0.21012 [3444 voxels],0.255344 [2406 voxels],0.234303 [2152 voxels],059,059,0.145251 [4171 voxels],0.143401 [4452 voxels],0.0848617 [7753 voxels],0.0937376 [7686 voxels],0.181122 [3274 voxels]
036,036,036,036,036,036,036,036,036,060,060,036,036,036,036,036
