10 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
0.190008 [3865 voxels],0.22547 [5681 voxels],0.169043 [5398 voxels],0.268651 [2257 voxels],0.137446 [2224 voxels],0.233186 [3910 voxels],0.182467 [3444 voxels],0.333662 [2406 voxels],0.204347 [2152 voxels],025,025,0.188123 [4171 voxels],0.180286 [4452 voxels],0.150874 [7753 voxels],0.104368 [7686 voxels],0.24952 [3274 voxels]
019,019,019,019,019,019,019,019,019,027,027,019,019,019,019,019
0.324806 [3865 voxels],0.244943 [5681 voxels],0.237541 [5398 voxels],0.259482 [2257 voxels],0.21402 [2224 voxels],0.289914 [3910 voxels],0.281126 [3444 voxels],0.394088 [2406 voxels],0.345266 [2152 voxels],028,028,0.225554 [4171 voxels],0.173634 [4452 voxels],0.218713 [7753 voxels],0.204999 [7686 voxels],0.338699 [3274 voxels]
020,020,020,020,020,020,020,020,020,029,029,020,020,020,020,020
0.232835 [3865 voxels],0.213117 [5681 voxels],0.16594 [5398 voxels],0.33002 [2257 voxels],0.202836 [2224 voxels],0.290269 [3910 voxels],0.261331 [3444 voxels],0.352947 [2406 voxels],0.257367 [2152 voxels],031,031,0.283605 [4171 voxels],0.292463 [4452 voxels],0.162155 [7753 voxels],0.162133 [7686 voxels],0.227609 [3274 voxels]
021,021,021,021,021,021,021,021,021,032,032,021,021,021,021,021
0.293779 [3865 voxels],0.224877 [5681 voxels],0.275792 [5398 voxels],0.38899 [2257 voxels],0.261169 [2224 voxels],0.366255 [3910 voxels],0.330655 [3444 voxels],0.403701 [2406 voxels],0.390519 [2152 voxels],033,033,0.239478 [4171 voxels],0.152946 [4452 voxels],0.15946 [7753 voxels],0.223484 [7686 voxels],0.272941 [3274 voxels]
022,022,022,022,022,022,022,022,022,035,035,022,022,022,022,022
0.252153 [3865 voxels],0.187107 [5681 voxels],0.174589 [5398 voxels],0.327603 [2257 voxels],0.242101 [2224 voxels],0.248782 [3910 voxels],0.246865 [3444 voxels],0.380901 [2406 voxels],0.342823 [2152 voxels],036,036,0.193737 [4171 voxels],0.180181 [4452 voxels],0.178183 [7753 voxels],0.17742 [7686 voxels],0.280468 [3274 voxels]
024,024,024,024,024,024,024,024,024,037,037,024,024,024,024,024
0.253942 [3865 voxels],0.180777 [5681 voxels],0.155757 [5398 voxels],0.289319 [2257 voxels],0.19883 [2224 voxels],0.248015 [3910 voxels],0.208162 [3444 voxels],0.289372 [2406 voxels],0.290438 [2152 voxels],038,038,0.179406 [4171 voxels],0.185568 [4452 voxels],0.128808 [7753 voxels],0.160776 [7686 voxels],0.212859 [3274 voxels]
025,025,025,025,025,025,025,025,025,039,039,025,025,025,025,025
0.21164 [3865 voxels],0.200866 [5681 voxels],0.181955 [5398 voxels],0.261428 [2257 voxels],0.224466 [2224 voxels],0.376639 [3910 voxels],0.409223 [3444 voxels],0.244345 [2406 voxels],0.218306 [2152 voxels],041,041,0.33262 [4171 voxels],0.23582 [4452 voxels],0.238556 [7753 voxels],0.162796 [7686 voxels],0.329379 [3274 voxels]
027,027,027,027,027,027,027,027,027,043,043,027,027,027,027,027
0.157957 [3865 voxels],0.202777 [5681 voxels],0.173722 [5398 voxels],0.306542 [2257 voxels],0.191516 [2224 voxels],0.249495 [3910 voxels],0.241091 [3444 voxels],0.328515 [2406 voxels],0.251969 [2152 voxels],044,044,0.241803 [4171 voxels],0.174524 [4452 voxels],0.169129 [7753 voxels],0.156094 [7686 voxels],0.201611 [3274 voxels]
028,028,028,028,028,028,028,028,028,045,045,028,028,028,028,028
0.191246 [3865 voxels],0.184057 [5681 voxels],0.147332 [5398 voxels],0.273928 [2257 voxels],0.180242 [2224 voxels],0.245724 [3910 voxels],0.198934 [3444 voxels],0.349535 [2406 voxels],0.220596 [2152 voxels],046,046,0.190397 [4171 voxels],0.176716 [4452 voxels],0.160235 [7753 voxels],0.144637 [7686 voxels],0.278377 [3274 voxels]
029,029,029,029,029,029,029,029,029,047,047,029,029,029,029,029
0.158774 [3865 voxels],0.21547 [5681 voxels],0.164978 [5398 voxels],0.320181 [2257 voxels],0.1826 [2224 voxels],0.272397 [3910 voxels],0.232688 [3444 voxels],0.341606 [2406 voxels],0.211771 [2152 voxels],049,049,0.275086 [4171 voxels],0.226378 [4452 voxels],0.168746 [7753 voxels],0.160603 [7686 voxels],0.250831 [3274 voxels]
031,031,031,031,031,031,031,031,031,050,050,031,031,031,031,031
0.265879 [3865 voxels],0.226988 [5681 voxels],0.171706 [5398 voxels],0.281475 [2257 voxels],0.211252 [2224 voxels],0.274634 [3910 voxels],0.212777 [3444 voxels],0.31828 [2406 voxels],0.304234 [2152 voxels],052,052,0.156819 [4171 voxels],0.160619 [4452 voxels],0.166583 [7753 voxels],0.196555 [7686 voxels],0.223284 [3274 voxels]
032,032,032,032,032,032,032,032,032,053,053,032,032,032,032,032
0.255779 [3865 voxels],0.171208 [5681 voxels],0.202724 [5398 voxels],0.26571 [2257 voxels],0.337857 [2224 voxels],0.254003 [3910 voxels],0.494166 [3444 voxels],0.283197 [2406 voxels],0.260107 [2152 voxels],055,055,0.328734 [4171 voxels],0.203063 [4452 voxels],0.176505 [7753 voxels],0.178927 [7686 voxels],0.266418 [3274 voxels]
033,033,033,033,033,033,033,033,033,056,056,033,033,033,033,033
0.188317 [3865 voxels],0.251688 [5681 voxels],0.191876 [5398 voxels],0.244805 [2257 voxels],0.186609 [2224 voxels],0.388246 [3910 voxels],0.262054 [3444 voxels],0.267875 [2406 voxels],0.257906 [2152 voxels],057,057,0.189979 [4171 voxels],0.170273 [4452 voxels],0.172206 [7753 voxels],0.177191 [7686 voxels],0.235116 [3274 voxels]
035,035,035,035,035,035,035,035,035,058,058,035,035,035,035,035
0.240423 [3865 voxels],0.165011 [5681 voxels],0.176745 [5398 voxels],0.324223 [2257 voxels],0.251979 [2224 voxels],0.246062 [3910 voxels],0.268023 [3444 voxels],0.321017 [2406 voxels],0.304242 [2152 voxels],059,059,0.203597 [4171 voxels],0.199722 [4452 voxels],0.138262 [7753 voxels],0.162001 [7686 voxels],0.236957 [3274 voxels]
036,036,036,036,036,036,036,036,036,060,060,036,036,036,036,036
0.22919 [3865 voxels],0.19662 [5681 voxels],0.171858 [5398 voxels],0.323145 [2257 voxels],0.194094 [2224 voxels],0.244069 [3910 voxels],0.202965 [3444 voxels],0.340791 [2406 voxels],0.276858 [2152 voxels],061,061,0.240936 [4171 voxels],0.23593 [4452 voxels],0.207491 [7753 voxels],0.223104 [7686 voxels],0.329645 [3274 voxels]
037,037,037,037,037,037,037,037,037,062,062,037,037,037,037,037
0.140018 [3865 voxels],0.158774 [5681 voxels],0.164226 [5398 voxels],0.18855 [2257 voxels],0.206179 [2224 voxels],0.295401 [3910 voxels],0.246167 [3444 voxels],0.191589 [2406 voxels],0.263237 [2152 voxels],065,065,0.141422 [4171 voxels],0.165303 [4452 voxels],0.0986573 [7753 voxels],0.157271 [7686 voxels],0.171884 [3274 voxels]
038,038,038,038,038,038,038,038,038,066,066,038,038,038,038,038
0.274496 [3865 voxels],0.159945 [5681 voxels],0.183092 [5398 voxels],0.35095 [2257 voxels],0.241857 [2224 voxels],0.304128 [3910 voxels],0.286468 [3444 voxels],0.38614 [2406 voxels],0.345538 [2152 voxels],068,068,0.207123 [4171 voxels],0.240756 [4452 voxels],0.145665 [7753 voxels],0.196658 [7686 voxels],0.266977 [3274 voxels]
