10 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
0.547694 [3865 voxels],0.548183 [5681 voxels],0.55343 [5398 voxels],0.559671 [2257 voxels],0.549519 [2224 voxels],0.550002 [3910 voxels],0.52709 [3444 voxels],0.547944 [2406 voxels],0.528296 [2152 voxels],,,0.558709 [4171 voxels],0.517446 [4452 voxels],0.531926 [7753 voxels],0.455046 [7686 voxels],0.611878 [3274 voxels]
075,075,075,075,075,075,075,075,075,,,075,075,075,075,075
0.532802 [3865 voxels],0.559888 [5681 voxels],0.645369 [5398 voxels],0.584779 [2257 voxels],0.558886 [2224 voxels],0.580914 [3910 voxels],0.563523 [3444 voxels],0.58518 [2406 voxels],0.545615 [2152 voxels],,,0.492343 [4171 voxels],0.482494 [4452 voxels],0.506163 [7753 voxels],0.481783 [7686 voxels],0.591443 [3274 voxels]
076,076,076,076,076,076,076,076,076,,,076,076,076,076,076
0.586736 [3865 voxels],0.596377 [5681 voxels],0.602282 [5398 voxels],0.630137 [2257 voxels],0.623171 [2224 voxels],0.593952 [3910 voxels],0.611717 [3444 voxels],0.617275 [2406 voxels],0.607787 [2152 voxels],,,0.54688 [4171 voxels],0.483939 [4452 voxels],0.543117 [7753 voxels],0.503796 [7686 voxels],0.648266 [3274 voxels]
078,078,078,078,078,078,078,078,078,,,078,078,078,078,078
0.530214 [3865 voxels],0.569723 [5681 voxels],0.588918 [5398 voxels],0.559935 [2257 voxels],0.548333 [2224 voxels],0.580013 [3910 voxels],0.577818 [3444 voxels],0.544288 [2406 voxels],0.525474 [2152 voxels],,,0.494948 [4171 voxels],0.48007 [4452 voxels],0.507384 [7753 voxels],0.487851 [7686 voxels],0.589643 [3274 voxels]
079,079,079,079,079,079,079,079,079,,,079,079,079,079,079
0.593091 [3865 voxels],0.519303 [5681 voxels],0.514557 [5398 voxels],0.577561 [2257 voxels],0.588596 [2224 voxels],0.567789 [3910 voxels],0.569245 [3444 voxels],0.563869 [2406 voxels],0.556478 [2152 voxels],,,0.514088 [4171 voxels],0.481358 [4452 voxels],0.523988 [7753 voxels],0.531604 [7686 voxels],0.591301 [3274 voxels]
081,081,081,081,081,081,081,081,081,,,081,081,081,081,081
